  PI: 3.14159
M_PI: 
m_PI: 3.14159265358979310000
C_PI: 3.141592654
F_PI: 22.0/7.0

   DEC              PI           M_PI           m_PI          CASIO           22/7
    0°:    000.000000a    000.000000a    000.000000a    000.000000a    000.000000a
  103°:    5.901471    5.901465    5.901465    5.901465    5.899091
  104°:    5.958766    5.958762    5.958762    5.958762    5.956364
  105°:    6.016062    6.016057    6.016057    6.016057    6.013636
  106°:    6.073358    6.073353    6.073353    6.073353    6.070909
  107°:    6.130654    6.130649    6.130649    6.130649    6.128182
  108°:    6.187950    6.187944    6.187944    6.187944    6.185455
  109°:    6.245245    6.245240    6.245240    6.245240    6.242727
  110°:    6.302541    6.302536    6.302536    6.302536    6.300000
  111°:    6.359837    6.359831    6.359831    6.359831    6.357273
  112°:    6.417133    6.417127    6.417127    6.417127    6.414546
  113°:    6.474429    6.474423    6.474423    6.474423    6.471818
  114°:    6.531724    6.531719    6.531719    6.531719    6.529091
  115°:    6.589020    6.589015    6.589015    6.589015    6.586364
  116°:    6.646316    6.646310    6.646310    6.646310    6.643636
  117°:    6.703612    6.703606    6.703606    6.703606    6.700909
  118°:    6.760908    6.760902    6.760902    6.760902    6.758182
  119°:    6.818203    6.818198    6.818198    6.818198    6.815454
  120°:    6.875499    6.875494    6.875494    6.875494    6.872727
  121°:    6.932796    6.932789    6.932789    6.932789    6.930000
  122°:    6.990091    6.990086    6.990086    6.990086    6.987273
  123°:    7.047387    7.047381    7.047381    7.047381    7.044546
  124°:    7.104682    7.104677    7.104677    7.104677    7.101818
  125°:    7.161979    7.161973    7.161973    7.161973    7.159091
  126°:    7.219275    7.219268    7.219268    7.219268    7.216364
  127°:    7.276570    7.276564    7.276564    7.276564    7.273636
  128°:    7.333866    7.333860    7.333860    7.333860    7.330909
  129°:    7.391161    7.391155    7.391155    7.391155    7.388182
  130°:    7.448458    7.448451    7.448451    7.448451    7.445455
  131°:    7.505754    7.505747    7.505747    7.505747    7.502727
  132°:    7.563049    7.563043    7.563043    7.563043    7.560000
  133°:    7.620345    7.620339    7.620339    7.620339    7.617273
  134°:    7.677641    7.677635    7.677635    7.677635    7.674546
  135°:    7.734937    7.734931    7.734931    7.734931    7.731819
  136°:    7.792233    7.792226    7.792226    7.792226    7.789092
  137°:    7.849528    7.849522    7.849522    7.849522    7.846364
  138°:    7.906824    7.906817    7.906817    7.906817    7.903636
  139°:    7.964120    7.964114    7.964114    7.964114    7.960909
  140°:    8.021416    8.021409    8.021409    8.021409    8.018182
  141°:    8.078712    8.078705    8.078705    8.078705    8.075455
  142°:    8.136008    8.136002    8.136002    8.136002    8.132728
  143°:    8.193304    8.193297    8.193297    8.193297    8.190001
  144°:    8.250599    8.250591    8.250591    8.250591    8.247272
  145°:    8.307895    8.307887    8.307887    8.307887    8.304545
  146°:    8.365191    8.365184    8.365184    8.365184    8.361817
  147°:    8.422486    8.422480    8.422480    8.422480    8.419090
  148°:    8.479782    8.479775    8.479775    8.479775    8.476363
  149°:    8.537079    8.537071    8.537071    8.537071    8.533637
  150°:    8.594375    8.594368    8.594368    8.594368    8.590910
  151°:    8.651670    8.651662    8.651662    8.651662    8.648181
  152°:    8.708965    8.708958    8.708958    8.708958    8.705454
  153°:    8.766261    8.766254    8.766254    8.766254    8.762727
  154°:    8.823557    8.823550    8.823550    8.823550    8.820000
  155°:    8.880854    8.880846    8.880846    8.880846    8.877273
  156°:    8.938149    8.938142    8.938142    8.938142    8.934546
  157°:    8.995445    8.995438    8.995438    8.995438    8.991818
  158°:    9.052741    9.052733    9.052733    9.052733    9.049091
  159°:    9.110036    9.110028    9.110028    9.110028    9.106363
  160°:    9.167333    9.167324    9.167324    9.167324    9.163636
  161°:    9.224628    9.224621    9.224621    9.224621    9.220909
  162°:    9.281924    9.281917    9.281917    9.281917    9.278182
  163°:    9.339220    9.339212    9.339212    9.339212    9.335455
  164°:    9.396516    9.396508    9.396508    9.396508    9.392728
  165°:    9.453812    9.453804    9.453804    9.453804    9.450000
  166°:    9.511107    9.511099    9.511099    9.511099    9.507273
  167°:    9.568403    9.568395    9.568395    9.568395    9.564546
  168°:    9.625699    9.625690    9.625690    9.625690    9.621819
  169°:    9.682995    9.682987    9.682987    9.682987    9.679090
  170°:    9.740291    9.740283    9.740283    9.740283    9.736363
  171°:    9.797586    9.797579    9.797579    9.797579    9.793636
  172°:    9.854882    9.854875    9.854875    9.854875    9.850909
  173°:    9.912178    9.912169    9.912169    9.912169    9.908181
  174°:    9.969474    9.969465    9.969465    9.969465    9.965454
  175°:    10.026770    10.026761    10.026761    10.026761    10.022727
  176°:    10.084065    10.084057    10.084057    10.084057    10.080000
  177°:    10.141362    10.141354    10.141354    10.141354    10.137273
  178°:    10.198658    10.198649    10.198649    10.198649    10.194546
  179°:    10.255954    10.255945    10.255945    10.255945    10.251819
  180°:    10.313250    10.313241    10.313241    10.313241    10.309092
  181°:    10.370544    10.370536    10.370536    10.370536    10.366363
  182°:    10.427840    10.427832    10.427832    10.427832    10.423635
  183°:    10.485136    10.485127    10.485127    10.485127    10.480908
  184°:    10.542432    10.542423    10.542423    10.542423    10.538181
  185°:    10.599728    10.599719    10.599719    10.599719    10.595454
  186°:    10.657023    10.657015    10.657015    10.657015    10.652727
  187°:    10.714320    10.714311    10.714311    10.714311    10.710000
  188°:    10.771616    10.771606    10.771606    10.771606    10.767273
  189°:    10.828912    10.828902    10.828902    10.828902    10.824546
  190°:    10.886208    10.886198    10.886198    10.886198    10.881819
  191°:    10.943503    10.943494    10.943494    10.943494    10.939092
  192°:    11.000799    11.000790    11.000790    11.000790    10.996364
  193°:    11.058095    11.058086    11.058086    11.058086    11.053637
  194°:    11.115391    11.115382    11.115382    11.115382    11.110909
  195°:    11.172686    11.172676    11.172676    11.172676    11.168181
  196°:    11.229981    11.229973    11.229973    11.229973    11.225454
  197°:    11.287278    11.287269    11.287269    11.287269    11.282727
  198°:    11.344574    11.344564    11.344564    11.344564    11.340000
  199°:    11.401870    11.401860    11.401860    11.401860    11.397273
  200°:    11.459166    11.459156    11.459156    11.459156    11.454545
  201°:    11.516461    11.516452    11.516452    11.516452    11.511818
  202°:    11.573757    11.573748    11.573748    11.573748    11.569091
  203°:    11.631052    11.631042    11.631042    11.631042    11.626363
  204°:    11.688350    11.688339    11.688339    11.688339    11.683637
  205°:    11.745646    11.745635    11.745635    11.745635    11.740910
  206°:    11.802941    11.802931    11.802931    11.802931    11.798182
  207°:    11.860237    11.860227    11.860227    11.860227    11.855455
  208°:    11.917533    11.917523    11.917523    11.917523    11.912728
  209°:    11.974829    11.974819    11.974819    11.974819    11.970001
  210°:    12.032124    12.032113    12.032113    12.032113    12.027272
  211°:    12.089419    12.089409    12.089409    12.089409    12.084545
  212°:    12.146715    12.146706    12.146706    12.146706    12.141818
  213°:    12.204011    12.204001    12.204001    12.204001    12.199091
  214°:    12.261308    12.261297    12.261297    12.261297    12.256364
  215°:    12.318604    12.318593    12.318593    12.318593    12.313637
  216°:    12.375899    12.375889    12.375889    12.375889    12.370910
  217°:    12.433194    12.433184    12.433184    12.433184    12.428181
  218°:    12.490490    12.490479    12.490479    12.490479    12.485454
  219°:    12.547786    12.547775    12.547775    12.547775    12.542727
  220°:    12.605082    12.605071    12.605071    12.605071    12.599999
  221°:    12.662377    12.662367    12.662367    12.662367    12.657272
  222°:    12.719673    12.719663    12.719663    12.719663    12.714545
  223°:    12.776969    12.776958    12.776958    12.776958    12.771818
  224°:    12.834266    12.834254    12.834254    12.834254    12.829091
  225°:    12.891562    12.891550    12.891550    12.891550    12.886364
  226°:    12.948857    12.948846    12.948846    12.948846    12.943637
  227°:    13.006153    13.006143    13.006143    13.006143    13.000909
  228°:    13.063449    13.063438    13.063438    13.063438    13.058182
  229°:    13.120745    13.120734    13.120734    13.120734    13.115455
  230°:    13.178041    13.178030    13.178030    13.178030    13.172728
  231°:    13.235337    13.235326    13.235326    13.235326    13.230000
  232°:    13.292631    13.292621    13.292621    13.292621    13.287272
  233°:    13.349928    13.349916    13.349916    13.349916    13.344545
  234°:    13.407224    13.407212    13.407212    13.407212    13.401818
  235°:    13.464520    13.464508    13.464508    13.464508    13.459090
  236°:    13.521815    13.521804    13.521804    13.521804    13.516363
  237°:    13.579111    13.579100    13.579100    13.579100    13.573636
  238°:    13.636407    13.636395    13.636395    13.636395    13.630909
  239°:    13.693703    13.693691    13.693691    13.693691    13.688182
  240°:    13.750998    13.750987    13.750987    13.750987    13.745455
  241°:    13.808295    13.808283    13.808283    13.808283    13.802728
  242°:    13.865591    13.865579    13.865579    13.865579    13.860001
  243°:    13.922887    13.922875    13.922875    13.922875    13.917274
  244°:    13.980183    13.980171    13.980171    13.980171    13.974546
  245°:    14.037478    14.037467    14.037467    14.037467    14.031819
  246°:    14.094774    14.094763    14.094763    14.094763    14.089091
  247°:    14.152069    14.152058    14.152058    14.152058    14.146363
  248°:    14.209365    14.209353    14.209353    14.209353    14.203636
  249°:    14.266661    14.266649    14.266649    14.266649    14.260909
  250°:    14.323957    14.323945    14.323945    14.323945    14.318182
  251°:    14.381251    14.381240    14.381240    14.381240    14.375453
  252°:    14.438549    14.438537    14.438537    14.438537    14.432728
  253°:    14.495844    14.495831    14.495831    14.495831    14.489999
  254°:    14.553141    14.553128    14.553128    14.553128    14.547273
  255°:    14.610435    14.610423    14.610423    14.610423    14.604545
  256°:    14.667732    14.667720    14.667720    14.667720    14.661819
  257°:    14.725027    14.725015    14.725015    14.725015    14.719090
  258°:    14.782323    14.782310    14.782310    14.782310    14.776363
  259°:    14.839619    14.839606    14.839606    14.839606    14.833636
  260°:    14.896915    14.896902    14.896902    14.896902    14.890909
  261°:    14.954211    14.954198    14.954198    14.954198    14.948182
  262°:    15.011507    15.011495    15.011495    15.011495    15.005454
  263°:    15.068804    15.068791    15.068791    15.068791    15.062729
  264°:    15.126099    15.126086    15.126086    15.126086    15.120000
  265°:    15.183393    15.183380    15.183380    15.183380    15.177272
  266°:    15.240690    15.240678    15.240678    15.240678    15.234546
  267°:    15.297985    15.297973    15.297973    15.297973    15.291818
  268°:    15.355283    15.355269    15.355269    15.355269    15.349092
  269°:    15.412577    15.412564    15.412564    15.412564    15.406363
  270°:    15.469874    15.469861    15.469861    15.469861    15.463637
  271°:    15.527169    15.527156    15.527156    15.527156    15.520908
  272°:    15.584466    15.584453    15.584453    15.584453    15.578183
  273°:    15.641761    15.641747    15.641747    15.641747    15.635454
  274°:    15.699057    15.699043    15.699043    15.699043    15.692727
  275°:    15.756352    15.756339    15.756339    15.756339    15.750000
  276°:    15.813648    15.813635    15.813635    15.813635    15.807273
  277°:    15.870945    15.870931    15.870931    15.870931    15.864546
  278°:    15.928241    15.928227    15.928227    15.928227    15.921819
  279°:    15.985537    15.985523    15.985523    15.985523    15.979092
  280°:    16.042831    16.042818    16.042818    16.042818    16.036364
  281°:    16.100126    16.100113    16.100113    16.100113    16.093636
  282°:    16.157425    16.157410    16.157410    16.157410    16.150909
  283°:    16.214720    16.214705    16.214705    16.214705    16.208181
  284°:    16.272017    16.272003    16.272003    16.272003    16.265455
  285°:    16.329311    16.329296    16.329296    16.329296    16.322727
  286°:    16.386608    16.386595    16.386595    16.386595    16.380001
  287°:    16.443903    16.443890    16.443890    16.443890    16.437273
  288°:    16.501198    16.501183    16.501183    16.501183    16.494545
  289°:    16.558495    16.558481    16.558481    16.558481    16.551819
  290°:    16.615789    16.615774    16.615774    16.615774    16.609091
  291°:    16.673086    16.673073    16.673073    16.673073    16.666365
  292°:    16.730381    16.730368    16.730368    16.730368    16.723635
  293°:    16.787678    16.787664    16.787664    16.787664    16.780910
  294°:    16.844973    16.844959    16.844959    16.844959    16.838181
  295°:    16.902269    16.902254    16.902254    16.902254    16.895454
  296°:    16.959564    16.959551    16.959551    16.959551    16.952726
  297°:    17.016861    17.016846    17.016846    17.016846    17.010000
  298°:    17.074158    17.074142    17.074142    17.074142    17.067274
  299°:    17.131453    17.131437    17.131437    17.131437    17.124546
  300°:    17.188749    17.188736    17.188736    17.188736    17.181820
  301°:    17.246044    17.246029    17.246029    17.246029    17.239092
  302°:    17.303339    17.303324    17.303324    17.303324    17.296362
  303°:    17.360636    17.360622    17.360622    17.360622    17.353636
  304°:    17.417931    17.417915    17.417915    17.417915    17.410908
  305°:    17.475227    17.475214    17.475214    17.475214    17.468182
  306°:    17.532522    17.532509    17.532509    17.532509    17.525454
  307°:    17.589819    17.589806    17.589806    17.589806    17.582727
  308°:    17.647114    17.647100    17.647100    17.647100    17.639999
  309°:    17.704411    17.704395    17.704395    17.704395    17.697273
  310°:    17.761707    17.761692    17.761692    17.761692    17.754545
  311°:    17.819002    17.818987    17.818987    17.818987    17.811817
  312°:    17.876299    17.876284    17.876284    17.876284    17.869091
  313°:    17.933594    17.933578    17.933578    17.933578    17.926363
  314°:    17.990891    17.990875    17.990875    17.990875    17.983637
  315°:    18.048185    18.048170    18.048170    18.048170    18.040909
  316°:    18.105482    18.105467    18.105467    18.105467    18.098183
  317°:    18.162777    18.162762    18.162762    18.162762    18.155455
  318°:    18.220072    18.220057    18.220057    18.220057    18.212727
  319°:    18.277370    18.277355    18.277355    18.277355    18.270000
  320°:    18.334665    18.334648    18.334648    18.334648    18.327272
  321°:    18.391962    18.391947    18.391947    18.391947    18.384546
  322°:    18.449257    18.449242    18.449242    18.449242    18.441818
  323°:    18.506554    18.506538    18.506538    18.506538    18.499092
  324°:    18.563848    18.563833    18.563833    18.563833    18.556364
  325°:    18.621143    18.621126    18.621126    18.621126    18.613636
  326°:    18.678440    18.678425    18.678425    18.678425    18.670910
  327°:    18.735735    18.735720    18.735720    18.735720    18.728180
  328°:    18.793032    18.793016    18.793016    18.793016    18.785456
  329°:    18.850328    18.850311    18.850311    18.850311    18.842728
  330°:    18.907623    18.907608    18.907608    18.907608    18.900000
