  PI: 3.14159
M_PI: 
m_PI: 3.14159265358979310000
C_PI: 3.141592654
F_PI: 22.0/7.0

   DEC              PI           M_PI           m_PI          CASIO           22/7
    0°:    000.000000a    000.000000a    000.000000a    000.000000a    000.000000a
 3342°:    191.482651    191.482498    191.482498    191.482498    191.405457
 3343°:    191.539948    191.539795    191.539795    191.539795    191.462723
 3344°:    191.597260    191.597107    191.597107    191.597107    191.520020
 3345°:    191.654541    191.654373    191.654373    191.654373    191.577271
 3346°:    191.711823    191.711670    191.711670    191.711670    191.634537
 3347°:    191.769119    191.768967    191.768967    191.768967    191.691803
 3348°:    191.826431    191.826279    191.826279    191.826279    191.749100
 3349°:    191.883728    191.883575    191.883575    191.883575    191.806366
 3350°:    191.941025    191.940857    191.940857    191.940857    191.863632
 3351°:    191.998322    191.998154    191.998154    191.998154    191.920914
 3352°:    192.055603    192.055450    192.055450    192.055450    191.978180
 3353°:    192.112900    192.112747    192.112747    192.112747    192.035446
 3354°:    192.170212    192.170059    192.170059    192.170059    192.092743
 3355°:    192.227509    192.227341    192.227341    192.227341    192.150009
 3356°:    192.284805    192.284637    192.284637    192.284637    192.207275
 3357°:    192.342102    192.341934    192.341934    192.341934    192.264542
 3358°:    192.399384    192.399231    192.399231    192.399231    192.321823
 3359°:    192.456680    192.456528    192.456528    192.456528    192.379089
 3360°:    192.513977    192.513809    192.513809    192.513809    192.436356
 3361°:    192.571274    192.571106    192.571106    192.571106    192.493637
 3362°:    192.628571    192.628403    192.628403    192.628403    192.550903
 3363°:    192.685852    192.685699    192.685699    192.685699    192.608170
 3364°:    192.743164    192.743011    192.743011    192.743011    192.665466
 3365°:    192.800461    192.800308    192.800308    192.800308    192.722733
 3366°:    192.857758    192.857590    192.857590    192.857590    192.779999
 3367°:    192.915054    192.914886    192.914886    192.914886    192.837265
 3368°:    192.972351    192.972183    192.972183    192.972183    192.894547
 3369°:    193.029633    193.029480    193.029480    193.029480    192.951813
 3370°:    193.086929    193.086777    193.086777    193.086777    193.009079
 3371°:    193.144241    193.144089    193.144089    193.144089    193.066376
 3372°:    193.201538    193.201370    193.201370    193.201370    193.123642
 3373°:    193.258820    193.258652    193.258652    193.258652    193.180893
 3374°:    193.316132    193.315964    193.315964    193.315964    193.238190
 3375°:    193.373413    193.373260    193.373260    193.373260    193.295456
 3376°:    193.430710    193.430542    193.430542    193.430542    193.352722
 3377°:    193.488022    193.487869    193.487869    193.487869    193.410019
 3378°:    193.545303    193.545135    193.545135    193.545135    193.467270
 3379°:    193.602600    193.602432    193.602432    193.602432    193.524536
 3380°:    193.659912    193.659744    193.659744    193.659744    193.581833
 3381°:    193.717194    193.717041    193.717041    193.717041    193.639099
 3382°:    193.774490    193.774323    193.774323    193.774323    193.696365
 3383°:    193.831787    193.831619    193.831619    193.831619    193.753632
 3384°:    193.889084    193.888916    193.888916    193.888916    193.810913
 3385°:    193.946381    193.946213    193.946213    193.946213    193.868179
 3386°:    194.003662    194.003510    194.003510    194.003510    193.925446
 3387°:    194.060974    194.060822    194.060822    194.060822    193.982742
 3388°:    194.118271    194.118103    194.118103    194.118103    194.040009
 3389°:    194.175568    194.175400    194.175400    194.175400    194.097275
 3390°:    194.232864    194.232697    194.232697    194.232697    194.154556
 3391°:    194.290161    194.289993    194.289993    194.289993    194.211823
 3392°:    194.347443    194.347290    194.347290    194.347290    194.269089
 3393°:    194.404739    194.404572    194.404572    194.404572    194.326355
 3394°:    194.462036    194.461868    194.461868    194.461868    194.383636
 3395°:    194.519333    194.519165    194.519165    194.519165    194.440903
 3396°:    194.576614    194.576462    194.576462    194.576462    194.498169
 3397°:    194.633942    194.633774    194.633774    194.633774    194.555466
 3398°:    194.691223    194.691071    194.691071    194.691071    194.612732
 3399°:    194.748520    194.748352    194.748352    194.748352    194.669998
 3400°:    194.805817    194.805649    194.805649    194.805649    194.727280
 3401°:    194.863113    194.862946    194.862946    194.862946    194.784546
 3402°:    194.920395    194.920242    194.920242    194.920242    194.841812
 3403°:    194.977722    194.977554    194.977554    194.977554    194.899109
 3404°:    195.035004    195.034851    195.034851    195.034851    194.956375
 3405°:    195.092300    195.092133    195.092133    195.092133    195.013641
 3406°:    195.149582    195.149414    195.149414    195.149414    195.070892
 3407°:    195.206894    195.206726    195.206726    195.206726    195.128189
 3408°:    195.264175    195.264023    195.264023    195.264023    195.185455
 3409°:    195.321472    195.321304    195.321304    195.321304    195.242722
 3410°:    195.378769    195.378601    195.378601    195.378601    195.300003
 3411°:    195.436066    195.435898    195.435898    195.435898    195.357269
 3412°:    195.493362    195.493195    195.493195    195.493195    195.414536
 3413°:    195.550674    195.550507    195.550507    195.550507    195.471832
 3414°:    195.607956    195.607803    195.607803    195.607803    195.529099
 3415°:    195.665253    195.665085    195.665085    195.665085    195.586365
 3416°:    195.722549    195.722382    195.722382    195.722382    195.643631
 3417°:    195.779846    195.779678    195.779678    195.779678    195.700912
 3418°:    195.837143    195.836975    195.836975    195.836975    195.758179
 3419°:    195.894424    195.894272    195.894272    195.894272    195.815445
 3420°:    195.951736    195.951584    195.951584    195.951584    195.872742
 3421°:    196.009033    196.008865    196.008865    196.008865    195.930008
 3422°:    196.066315    196.066147    196.066147    196.066147    195.987259
 3423°:    196.123627    196.123459    196.123459    196.123459    196.044556
 3424°:    196.180923    196.180756    196.180756    196.180756    196.101822
 3425°:    196.238205    196.238052    196.238052    196.238052    196.159088
 3426°:    196.295502    196.295334    196.295334    196.295334    196.216354
 3427°:    196.352798    196.352631    196.352631    196.352631    196.273636
 3428°:    196.410095    196.409927    196.409927    196.409927    196.330902
 3429°:    196.467392    196.467224    196.467224    196.467224    196.388168
 3430°:    196.524704    196.524536    196.524536    196.524536    196.445465
 3431°:    196.581985    196.581818    196.581818    196.581818    196.502731
 3432°:    196.639282    196.639114    196.639114    196.639114    196.559998
 3433°:    196.696579    196.696411    196.696411    196.696411    196.617279
 3434°:    196.753876    196.753708    196.753708    196.753708    196.674545
 3435°:    196.811172    196.811005    196.811005    196.811005    196.731812
 3436°:    196.868484    196.868317    196.868317    196.868317    196.789108
 3437°:    196.925766    196.925598    196.925598    196.925598    196.846375
 3438°:    196.983047    196.982880    196.982880    196.982880    196.903625
 3439°:    197.040344    197.040176    197.040176    197.040176    196.960892
 3440°:    197.097656    197.097488    197.097488    197.097488    197.018188
 3441°:    197.154953    197.154785    197.154785    197.154785    197.075455
 3442°:    197.212234    197.212067    197.212067    197.212067    197.132721
 3443°:    197.269531    197.269363    197.269363    197.269363    197.190002
 3444°:    197.326828    197.326660    197.326660    197.326660    197.247269
 3445°:    197.384125    197.383957    197.383957    197.383957    197.304535
 3446°:    197.441437    197.441269    197.441269    197.441269    197.361832
 3447°:    197.498718    197.498566    197.498566    197.498566    197.419098
 3448°:    197.556015    197.555847    197.555847    197.555847    197.476364
 3449°:    197.613312    197.613144    197.613144    197.613144    197.533646
 3450°:    197.670609    197.670441    197.670441    197.670441    197.590912
 3451°:    197.727905    197.727737    197.727737    197.727737    197.648178
 3452°:    197.785187    197.785019    197.785019    197.785019    197.705444
 3453°:    197.842499    197.842346    197.842346    197.842346    197.762741
 3454°:    197.899780    197.899612    197.899612    197.899612    197.819992
 3455°:    197.957077    197.956909    197.956909    197.956909    197.877258
 3456°:    198.014389    198.014221    198.014221    198.014221    197.934555
 3457°:    198.071686    198.071518    198.071518    198.071518    197.991821
 3458°:    198.128967    198.128799    198.128799    198.128799    198.049088
 3459°:    198.186264    198.186096    198.186096    198.186096    198.106369
 3460°:    198.243561    198.243393    198.243393    198.243393    198.163635
 3461°:    198.300858    198.300690    198.300690    198.300690    198.220901
 3462°:    198.358154    198.357986    198.357986    198.357986    198.278168
 3463°:    198.415466    198.415298    198.415298    198.415298    198.335464
 3464°:    198.472748    198.472580    198.472580    198.472580    198.392731
 3465°:    198.530045    198.529877    198.529877    198.529877    198.449997
 3466°:    198.587341    198.587173    198.587173    198.587173    198.507278
 3467°:    198.644638    198.644470    198.644470    198.644470    198.564545
 3468°:    198.701935    198.701767    198.701767    198.701767    198.621811
 3469°:    198.759247    198.759079    198.759079    198.759079    198.679108
 3470°:    198.816513    198.816345    198.816345    198.816345    198.736359
 3471°:    198.873810    198.873642    198.873642    198.873642    198.793625
 3472°:    198.931107    198.930939    198.930939    198.930939    198.850891
 3473°:    198.988419    198.988251    198.988251    198.988251    198.908188
 3474°:    199.045715    199.045547    199.045547    199.045547    198.965454
 3475°:    199.102997    199.102829    199.102829    199.102829    199.022720
 3476°:    199.160294    199.160126    199.160126    199.160126    199.080002
 3477°:    199.217590    199.217422    199.217422    199.217422    199.137268
 3478°:    199.274887    199.274719    199.274719    199.274719    199.194534
 3479°:    199.332199    199.332031    199.332031    199.332031    199.251831
 3480°:    199.389496    199.389328    199.389328    199.389328    199.309097
 3481°:    199.446777    199.446609    199.446609    199.446609    199.366364
 3482°:    199.504074    199.503906    199.503906    199.503906    199.423645
 3483°:    199.561371    199.561203    199.561203    199.561203    199.480911
 3484°:    199.618668    199.618500    199.618500    199.618500    199.538177
 3485°:    199.675949    199.675781    199.675781    199.675781    199.595444
 3486°:    199.733246    199.733078    199.733078    199.733078    199.652725
 3487°:    199.790543    199.790375    199.790375    199.790375    199.709991
 3488°:    199.847839    199.847672    199.847672    199.847672    199.767258
 3489°:    199.905151    199.904984    199.904984    199.904984    199.824554
 3490°:    199.962448    199.962280    199.962280    199.962280    199.881821
 3491°:    200.019730    200.019562    200.019562    200.019562    199.939087
 3492°:    200.077026    200.076859    200.076859    200.076859    199.996368
 3493°:    200.134323    200.134155    200.134155    200.134155    200.053635
 3494°:    200.191620    200.191452    200.191452    200.191452    200.110901
 3495°:    200.248917    200.248749    200.248749    200.248749    200.168167
 3496°:    200.306229    200.306061    200.306061    200.306061    200.225464
 3497°:    200.363510    200.363342    200.363342    200.363342    200.282730
 3498°:    200.420792    200.420624    200.420624    200.420624    200.339981
 3499°:    200.478104    200.477936    200.477936    200.477936    200.397278
 3500°:    200.535400    200.535233    200.535233    200.535233    200.454544
 3501°:    200.592697    200.592529    200.592529    200.592529    200.511810
 3502°:    200.650009    200.649841    200.649841    200.649841    200.569107
 3503°:    200.707275    200.707108    200.707108    200.707108    200.626358
 3504°:    200.764572    200.764404    200.764404    200.764404    200.683624
 3505°:    200.821884    200.821716    200.821716    200.821716    200.740921
 3506°:    200.879181    200.879013    200.879013    200.879013    200.798187
 3507°:    200.936478    200.936295    200.936295    200.936295    200.855453
 3508°:    200.993759    200.993591    200.993591    200.993591    200.912735
 3509°:    201.051056    201.050888    201.050888    201.050888    200.970001
 3510°:    201.108353    201.108185    201.108185    201.108185    201.027267
 3511°:    201.165649    201.165482    201.165482    201.165482    201.084534
 3512°:    201.222961    201.222794    201.222794    201.222794    201.141830
 3513°:    201.280258    201.280075    201.280075    201.280075    201.199097
 3514°:    201.337540    201.337372    201.337372    201.337372    201.256363
 3515°:    201.394836    201.394669    201.394669    201.394669    201.313644
 3516°:    201.452133    201.451965    201.451965    201.451965    201.370911
 3517°:    201.509430    201.509262    201.509262    201.509262    201.428177
 3518°:    201.566727    201.566544    201.566544    201.566544    201.485458
 3519°:    201.624008    201.623840    201.623840    201.623840    201.542725
 3520°:    201.681305    201.681137    201.681137    201.681137    201.599991
 3521°:    201.738602    201.738434    201.738434    201.738434    201.657257
 3522°:    201.795914    201.795746    201.795746    201.795746    201.714554
 3523°:    201.853210    201.853043    201.853043    201.853043    201.771820
 3524°:    201.910507    201.910324    201.910324    201.910324    201.829086
 3525°:    201.967789    201.967621    201.967621    201.967621    201.886368
 3526°:    202.025085    202.024918    202.024918    202.024918    201.943634
 3527°:    202.082382    202.082214    202.082214    202.082214    202.000900
 3528°:    202.139694    202.139526    202.139526    202.139526    202.058197
 3529°:    202.196991    202.196823    202.196823    202.196823    202.115463
 3530°:    202.254288    202.254105    202.254105    202.254105    202.172729
 3531°:    202.311554    202.311386    202.311386    202.311386    202.229980
 3532°:    202.368866    202.368698    202.368698    202.368698    202.287277
 3533°:    202.426163    202.425995    202.425995    202.425995    202.344543
 3534°:    202.483459    202.483276    202.483276    202.483276    202.401810
 3535°:    202.540741    202.540573    202.540573    202.540573    202.459091
 3536°:    202.598038    202.597870    202.597870    202.597870    202.516357
 3537°:    202.655334    202.655167    202.655167    202.655167    202.573624
 3538°:    202.712646    202.712479    202.712479    202.712479    202.630920
 3539°:    202.769943    202.769775    202.769775    202.769775    202.688187
 3540°:    202.827240    202.827057    202.827057    202.827057    202.745453
 3541°:    202.884521    202.884354    202.884354    202.884354    202.802734
 3542°:    202.941818    202.941650    202.941650    202.941650    202.860001
 3543°:    202.999115    202.998947    202.998947    202.998947    202.917267
 3544°:    203.056412    203.056244    203.056244    203.056244    202.974533
 3545°:    203.113724    203.113556    203.113556    203.113556    203.031830
 3546°:    203.171021    203.170837    203.170837    203.170837    203.089096
 3547°:    203.228287    203.228119    203.228119    203.228119    203.146347
 3548°:    203.285599    203.285431    203.285431    203.285431    203.203644
 3549°:    203.342896    203.342728    203.342728    203.342728    203.260910
 3550°:    203.400192    203.400024    203.400024    203.400024    203.318176
 3551°:    203.457489    203.457306    203.457306    203.457306    203.375458
 3552°:    203.514771    203.514603    203.514603    203.514603    203.432724
 3553°:    203.572067    203.571899    203.571899    203.571899    203.489990
 3554°:    203.629364    203.629196    203.629196    203.629196    203.547256
 3555°:    203.686676    203.686508    203.686508    203.686508    203.604553
 3556°:    203.743973    203.743805    203.743805    203.743805    203.661819
 3557°:    203.801270    203.801086    203.801086    203.801086    203.719101
 3558°:    203.858551    203.858383    203.858383    203.858383    203.776367
 3559°:    203.915848    203.915680    203.915680    203.915680    203.833633
 3560°:    203.973145    203.972977    203.972977    203.972977    203.890900
 3561°:    204.030457    204.030289    204.030289    204.030289    203.948196
 3562°:    204.087753    204.087570    204.087570    204.087570    204.005463
 3563°:    204.145020    204.144852    204.144852    204.144852    204.062714
 3564°:    204.202316    204.202148    204.202148    204.202148    204.119980
 3565°:    204.259628    204.259460    204.259460    204.259460    204.177277
 3566°:    204.316925    204.316757    204.316757    204.316757    204.234543
 3567°:    204.374222    204.374039    204.374039    204.374039    204.291824
 3568°:    204.431503    204.431335    204.431335    204.431335    204.349091
 3569°:    204.488800    204.488632    204.488632    204.488632    204.406357
 3570°:    204.546097    204.545929    204.545929    204.545929    204.463623
 3571°:    204.603409    204.603241    204.603241    204.603241    204.520920
 3572°:    204.660706    204.660538    204.660538    204.660538    204.578186
 3573°:    204.718002    204.717819    204.717819    204.717819    204.635452
 3574°:    204.775284    204.775116    204.775116    204.775116    204.692734
 3575°:    204.832581    204.832413    204.832413    204.832413    204.750000
 3576°:    204.889877    204.889709    204.889709    204.889709    204.807266
 3577°:    204.947174    204.947006    204.947006    204.947006    204.864548
 3578°:    205.004486    205.004318    205.004318    205.004318    204.921829
 3579°:    205.061752    205.061584    205.061584    205.061584    204.979080
 3580°:    205.119049    205.118881    205.118881    205.118881    205.036346
 3581°:    205.176361    205.176193    205.176193    205.176193    205.093643
 3582°:    205.233658    205.233490    205.233490    205.233490    205.150909
 3583°:    205.290955    205.290771    205.290771    205.290771    205.208176
 3584°:    205.348251    205.348068    205.348068    205.348068    205.265457
 3585°:    205.405533    205.405365    205.405365    205.405365    205.322723
 3586°:    205.462830    205.462662    205.462662    205.462662    205.379990
 3587°:    205.520126    205.519958    205.519958    205.519958    205.437271
 3588°:    205.577438    205.577271    205.577271    205.577271    205.494553
 3589°:    205.634735    205.634552    205.634552    205.634552    205.551819
 3590°:    205.692032    205.691849    205.691849    205.691849    205.609100
 3591°:    205.749313    205.749146    205.749146    205.749146    205.666367
 3592°:    205.806610    205.806442    205.806442    205.806442    205.723633
 3593°:    205.863907    205.863739    205.863739    205.863739    205.780899
 3594°:    205.921219    205.921051    205.921051    205.921051    205.838196
 3595°:    205.978500    205.978317    205.978317    205.978317    205.895447
 3596°:    206.035782    206.035614    206.035614    206.035614    205.952713
 3597°:    206.093079    206.092911    206.092911    206.092911    206.009995
 3598°:    206.150391    206.150223    206.150223    206.150223    206.067276
 3599°:    206.207687    206.207520    206.207520    206.207520    206.124542
 3600°:    206.264984    206.264801    206.264801    206.264801    206.181824
 3601°:    206.322281    206.322098    206.322098    206.322098    206.239090
 3602°:    206.379562    206.379395    206.379395    206.379395    206.296356
 3603°:    206.436859    206.436691    206.436691    206.436691    206.353622
 3604°:    206.494171    206.494003    206.494003    206.494003    206.410919
 3605°:    206.551468    206.551300    206.551300    206.551300    206.468185
 3606°:    206.608765    206.608582    206.608582    206.608582    206.525467
 3607°:    206.666061    206.665878    206.665878    206.665878    206.582733
 3608°:    206.723343    206.723175    206.723175    206.723175    206.639999
 3609°:    206.780640    206.780472    206.780472    206.780472    206.697266
 3610°:    206.837936    206.837753    206.837753    206.837753    206.754547
 3611°:    206.895233    206.895050    206.895050    206.895050    206.811813
 3612°:    206.952515    206.952347    206.952347    206.952347    206.869080
 3613°:    207.009811    207.009644    207.009644    207.009644    206.926346
 3614°:    207.067123    207.066956    207.066956    207.066956    206.983643
 3615°:    207.124420    207.124252    207.124252    207.124252    207.040909
 3616°:    207.181717    207.181534    207.181534    207.181534    207.098190
 3617°:    207.239014    207.238831    207.238831    207.238831    207.155457
 3618°:    207.296295    207.296127    207.296127    207.296127    207.212723
 3619°:    207.353592    207.353424    207.353424    207.353424    207.269989
 3620°:    207.410889    207.410721    207.410721    207.410721    207.327271
 3621°:    207.468201    207.468033    207.468033    207.468033    207.384552
 3622°:    207.525497    207.525314    207.525314    207.525314    207.441818
 3623°:    207.582764    207.582596    207.582596    207.582596    207.499069
 3624°:    207.640076    207.639908    207.639908    207.639908    207.556366
 3625°:    207.697372    207.697205    207.697205    207.697205    207.613632
 3626°:    207.754669    207.754501    207.754501    207.754501    207.670914
 3627°:    207.811981    207.811813    207.811813    207.811813    207.728195
 3628°:    207.869263    207.869080    207.869080    207.869080    207.785446
 3629°:    207.926544    207.926376    207.926376    207.926376    207.842712
 3630°:    207.983856    207.983688    207.983688    207.983688    207.900009
 3631°:    208.041153    208.040985    208.040985    208.040985    207.957275
 3632°:    208.098450    208.098282    208.098282    208.098282    208.014542
 3633°:    208.155746    208.155563    208.155563    208.155563    208.071823
 3634°:    208.213043    208.212860    208.212860    208.212860    208.129089
 3635°:    208.270325    208.270157    208.270157    208.270157    208.186356
 3636°:    208.327621    208.327454    208.327454    208.327454    208.243637
 3637°:    208.384933    208.384766    208.384766    208.384766    208.300919
 3638°:    208.442230    208.442047    208.442047    208.442047    208.358185
 3639°:    208.499527    208.499344    208.499344    208.499344    208.415466
 3640°:    208.556824    208.556641    208.556641    208.556641    208.472733
 3641°:    208.614105    208.613937    208.613937    208.613937    208.529999
 3642°:    208.671402    208.671234    208.671234    208.671234    208.587265
 3643°:    208.728699    208.728516    208.728516    208.728516    208.644547
 3644°:    208.785995    208.785812    208.785812    208.785812    208.701813
 3645°:    208.843292    208.843109    208.843109    208.843109    208.759079
 3646°:    208.900574    208.900406    208.900406    208.900406    208.816360
 3647°:    208.957886    208.957718    208.957718    208.957718    208.873642
 3648°:    209.015182    209.015015    209.015015    209.015015    208.930908
 3649°:    209.072479    209.072296    209.072296    209.072296    208.988190
 3650°:    209.129776    209.129593    209.129593    209.129593    209.045456
 3651°:    209.187073    209.186890    209.186890    209.186890    209.102722
 3652°:    209.244354    209.244186    209.244186    209.244186    209.159988
 3653°:    209.301666    209.301498    209.301498    209.301498    209.217285
 3654°:    209.358963    209.358795    209.358795    209.358795    209.274551
 3655°:    209.416260    209.416077    209.416077    209.416077    209.331833
 3656°:    209.473526    209.473358    209.473358    209.473358    209.389084
 3657°:    209.530853    209.530670    209.530670    209.530670    209.446365
 3658°:    209.588135    209.587967    209.587967    209.587967    209.503632
 3659°:    209.645432    209.645248    209.645248    209.645248    209.560913
 3660°:    209.702728    209.702545    209.702545    209.702545    209.618179
 3661°:    209.760025    209.759842    209.759842    209.759842    209.675446
 3662°:    209.817307    209.817139    209.817139    209.817139    209.732712
 3663°:    209.874634    209.874451    209.874451    209.874451    209.790009
 3664°:    209.931915    209.931747    209.931747    209.931747    209.847275
 3665°:    209.989212    209.989029    209.989029    209.989029    209.904556
 3666°:    210.046509    210.046326    210.046326    210.046326    209.961823
 3667°:    210.103806    210.103622    210.103622    210.103622    210.019089
 3668°:    210.161087    210.160919    210.160919    210.160919    210.076355
 3669°:    210.218384    210.218216    210.218216    210.218216    210.133636
 3670°:    210.275696    210.275528    210.275528    210.275528    210.190918
 3671°:    210.332993    210.332809    210.332809    210.332809    210.248184
 3672°:    210.390274    210.390091    210.390091    210.390091    210.305435
 3673°:    210.447586    210.447403    210.447403    210.447403    210.362732
 3674°:    210.504868    210.504700    210.504700    210.504700    210.419998
 3675°:    210.562164    210.561996    210.561996    210.561996    210.477280
 3676°:    210.619461    210.619278    210.619278    210.619278    210.534546
 3677°:    210.676758    210.676575    210.676575    210.676575    210.591812
 3678°:    210.734055    210.733871    210.733871    210.733871    210.649078
 3679°:    210.791336    210.791168    210.791168    210.791168    210.706360
 3680°:    210.848648    210.848480    210.848480    210.848480    210.763641
 3681°:    210.905945    210.905777    210.905777    210.905777    210.820908
 3682°:    210.963242    210.963058    210.963058    210.963058    210.878189
 3683°:    211.020538    211.020355    211.020355    211.020355    210.935455
 3684°:    211.077835    211.077652    211.077652    211.077652    210.992722
 3685°:    211.135117    211.134949    211.134949    211.134949    211.050003
 3686°:    211.192429    211.192261    211.192261    211.192261    211.107285
 3687°:    211.249725    211.249557    211.249557    211.249557    211.164551
 3688°:    211.307007    211.306824    211.306824    211.306824    211.221802
 3689°:    211.364288    211.364120    211.364120    211.364120    211.279083
 3690°:    211.421616    211.421432    211.421432    211.421432    211.336365
 3691°:    211.478897    211.478729    211.478729    211.478729    211.393631
 3692°:    211.536194    211.536011    211.536011    211.536011    211.450912
 3693°:    211.593491    211.593307    211.593307    211.593307    211.508179
 3694°:    211.650787    211.650604    211.650604    211.650604    211.565445
 3695°:    211.708069    211.707901    211.707901    211.707901    211.622726
 3696°:    211.765396    211.765213    211.765213    211.765213    211.680008
 3697°:    211.822678    211.822510    211.822510    211.822510    211.737274
 3698°:    211.879974    211.879791    211.879791    211.879791    211.794556
 3699°:    211.937271    211.937088    211.937088    211.937088    211.851822
 3700°:    211.994568    211.994385    211.994385    211.994385    211.909088
 3701°:    212.051849    212.051682    212.051682    212.051682    211.966354
 3702°:    212.109146    212.108978    212.108978    212.108978    212.023636
 3703°:    212.166458    212.166290    212.166290    212.166290    212.080917
 3704°:    212.223740    212.223557    212.223557    212.223557    212.138168
 3705°:    212.281036    212.280853    212.280853    212.280853    212.195450
 3706°:    212.338348    212.338165    212.338165    212.338165    212.252731
 3707°:    212.395630    212.395462    212.395462    212.395462    212.309998
 3708°:    212.452927    212.452759    212.452759    212.452759    212.367279
 3709°:    212.510223    212.510040    212.510040    212.510040    212.424545
 3710°:    212.567520    212.567337    212.567337    212.567337    212.481812
 3711°:    212.624817    212.624634    212.624634    212.624634    212.539078
 3712°:    212.682098    212.681931    212.681931    212.681931    212.596359
 3713°:    212.739410    212.739243    212.739243    212.739243    212.653641
 3714°:    212.796707    212.796524    212.796524    212.796524    212.710922
 3715°:    212.854004    212.853821    212.853821    212.853821    212.768188
 3716°:    212.911301    212.911118    212.911118    212.911118    212.825455
 3717°:    212.968597    212.968414    212.968414    212.968414    212.882721
 3718°:    213.025879    213.025711    213.025711    213.025711    212.940002
 3719°:    213.083191    213.083023    213.083023    213.083023    212.997284
 3720°:    213.140472    213.140289    213.140289    213.140289    213.054535
 3721°:    213.197769    213.197586    213.197586    213.197586    213.111801
 3722°:    213.255066    213.254883    213.254883    213.254883    213.169083
 3723°:    213.312378    213.312195    213.312195    213.312195    213.226364
 3724°:    213.369659    213.369492    213.369492    213.369492    213.283646
 3725°:    213.426956    213.426773    213.426773    213.426773    213.340912
 3726°:    213.484253    213.484070    213.484070    213.484070    213.398178
 3727°:    213.541550    213.541367    213.541367    213.541367    213.455444
 3728°:    213.598846    213.598663    213.598663    213.598663    213.512726
 3729°:    213.656158    213.655975    213.655975    213.655975    213.570007
 3730°:    213.713440    213.713272    213.713272    213.713272    213.627274
 3731°:    213.770737    213.770554    213.770554    213.770554    213.684555
 3732°:    213.828033    213.827850    213.827850    213.827850    213.741821
 3733°:    213.885330    213.885147    213.885147    213.885147    213.799088
 3734°:    213.942627    213.942444    213.942444    213.942444    213.856369
 3735°:    213.999908    213.999725    213.999725    213.999725    213.913635
 3736°:    214.057205    214.057022    214.057022    214.057022    213.970901
 3737°:    214.114502    214.114319    214.114319    214.114319    214.028168
 3738°:    214.171799    214.171616    214.171616    214.171616    214.085449
 3739°:    214.229111    214.228928    214.228928    214.228928    214.142731
 3740°:    214.286407    214.286224    214.286224    214.286224    214.199997
 3741°:    214.343689    214.343506    214.343506    214.343506    214.257278
 3742°:    214.400986    214.400803    214.400803    214.400803    214.314545
 3743°:    214.458282    214.458099    214.458099    214.458099    214.371811
 3744°:    214.515579    214.515396    214.515396    214.515396    214.429092
 3745°:    214.572861    214.572693    214.572693    214.572693    214.486359
 3746°:    214.630188    214.630005    214.630005    214.630005    214.543640
 3747°:    214.687469    214.687286    214.687286    214.687286    214.600922
 3748°:    214.744751    214.744568    214.744568    214.744568    214.658173
 3749°:    214.802063    214.801880    214.801880    214.801880    214.715454
 3750°:    214.859360    214.859177    214.859177    214.859177    214.772720
 3751°:    214.916641    214.916473    214.916473    214.916473    214.830002
 3752°:    214.973969    214.973785    214.973785    214.973785    214.887283
 3753°:    215.031235    215.031052    215.031052    215.031052    214.944534
 3754°:    215.088531    215.088348    215.088348    215.088348    215.001816
 3755°:    215.145844    215.145660    215.145660    215.145660    215.059097
 3756°:    215.203140    215.202957    215.202957    215.202957    215.116364
 3757°:    215.260422    215.260254    215.260254    215.260254    215.173645
 3758°:    215.317719    215.317535    215.317535    215.317535    215.230911
 3759°:    215.375015    215.374832    215.374832    215.374832    215.288177
 3760°:    215.432312    215.432129    215.432129    215.432129    215.345444
 3761°:    215.489609    215.489426    215.489426    215.489426    215.402725
 3762°:    215.546921    215.546738    215.546738    215.546738    215.460007
 3763°:    215.604202    215.604034    215.604034    215.604034    215.517288
 3764°:    215.661499    215.661316    215.661316    215.661316    215.574554
 3765°:    215.718796    215.718613    215.718613    215.718613    215.631821
 3766°:    215.776093    215.775909    215.775909    215.775909    215.689087
 3767°:    215.833389    215.833206    215.833206    215.833206    215.746368
 3768°:    215.890671    215.890488    215.890488    215.890488    215.803635
 3769°:    215.947968    215.947784    215.947784    215.947784    215.860901
 3770°:    216.005264    216.005081    216.005081    216.005081    215.918167
 3771°:    216.062561    216.062378    216.062378    216.062378    215.975449
 3772°:    216.119873    216.119690    216.119690    216.119690    216.032730
 3773°:    216.177170    216.176987    216.176987    216.176987    216.090012
 3774°:    216.234451    216.234268    216.234268    216.234268    216.147278
 3775°:    216.291748    216.291565    216.291565    216.291565    216.204544
 3776°:    216.349045    216.348862    216.348862    216.348862    216.261810
 3777°:    216.406342    216.406158    216.406158    216.406158    216.319092
 3778°:    216.463654    216.463470    216.463470    216.463470    216.376373
 3779°:    216.520950    216.520767    216.520767    216.520767    216.433640
 3780°:    216.578232    216.578049    216.578049    216.578049    216.490921
 3781°:    216.635513    216.635330    216.635330    216.635330    216.548172
 3782°:    216.692825    216.692642    216.692642    216.692642    216.605453
 3783°:    216.750122    216.749939    216.749939    216.749939    216.662735
 3784°:    216.807419    216.807236    216.807236    216.807236    216.720001
 3785°:    216.864700    216.864517    216.864517    216.864517    216.777267
 3786°:    216.921997    216.921814    216.921814    216.921814    216.834534
 3787°:    216.979294    216.979111    216.979111    216.979111    216.891815
 3788°:    217.036606    217.036423    217.036423    217.036423    216.949097
